"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A","RETURN"
"377564",8510,963,0.7771,0,0,0.002652129,0.0200708295243333,0.020967742,0.002147239,0.003027888,0.0225771151537667,0.0114127037395666,0.01187926,0.0138315266208333,0.0357190834258,0.0290069245450333,0.037103746,0.0282574568,0.771,48700,22185,1.19517692134325
"378406",5976,941.337099999999,0.235789653167388,0,0,0.006893369,0.029339853,0.036825954,0.006985228,0.023048297,0.010621921,0.020873599,0.019602851,0.020045558,0.069049553,0.041760216,0.149405024,0.0098172538,0.593,34000,24989,0.360598663411901
"379029",3959,944.891866666666,0.597398135151516,0,0,0.015608181,0.036512668,0.0620612140693999,0.015518148,0.00217061,0.010752688,0.0286143985912666,0.008183306,0.023470839,0.037142857,0.028723404,0.074152542,0.0168067227,0.436,24200,21842,0.10795714678143
"380094",3738,886.978066666667,0.758818673809523,0.1223,0,0.008503792,0.027887139,0.0765366678204333,0.010676965,0.042987135,0.014492754,0.0304474150462333,0.0255829988446667,0.028753994,0.057692308,0.05961377,0.124288073363433,0.0039423294,0.37,21200,27522,-0.229707143376208
"380465",2116,969.566196969697,0.4375,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,24514,0.488945092600147
"381617",4821,927.047593939394,0.6923,0,0,0.01576505,0.057745098,0.039964077,0.027592823,0.005021486,0.026848658,0.053675613,0.004367913,0.051265661,0.094706956,0.072092469,0.129153481,0.0134560907,0.44,26300,16669,0.577779110924471
"381787",4120,930.245633333333,0,0,0,0.019076923,0.034364261,0.0630517374089667,0.0254842,0.00816049,0.025903204,0.034146342,0.01757598,0.033300033,0.082371459,0.0457993,0.180534695,0.0157529602775433,0.522,30000,25962,0.155535012710885
"381909",6039,941.242099999999,0.216201206847042,0,0,0.006893369,0.029339853,0.036825954,0.006985228,0.023048297,0.010621921,0.020873599,0.019602851,0.020045558,0.069049553,0.041760216,0.149405024,0.0098172538,0.593,34000,24858,0.367768927508247
"382063",1910,986.838396969697,0.6667,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,18886,0.932648522715239
"382771",3639,894.281266666667,0.559646373333334,0.2341,0,0.010975357,0.04811609,0.055737705,0.020022002,0.007033409,0.01862631,0.036131184,0.048512586,0.03808752,0.091778203,0.061764706,0.108839779,0.0034865702,0.332,20800,24851,-0.163011548831033
