"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"237367",6543,965,0.6372,0,0,0.018884892,0.042296073,0.063157895,0.039126479,0.030153846,0.024734982,0.057001239,0.0206104704440667,0.065359477,0.029787234,0.06836248,0.079726652,0.0133913186896333,0.513,30300,15958
"237525",6794,1008,0.7124,0,0,0.00789177,0.034954407,0.049673203,0.022015241,0.012757606,0.0268403271462333,0.02739726,0.018666667,0.028205128,0.040023543,0.049128368,0.090553746,0.0193192272,0.562,31900,16229
"237701",5730,963.278266666667,0.4559,0,0,0.010329562,0.026022305,0.038819876,0.017723245,0.009035056,0.0199961827015667,0.021802326,0.015744157,0.030871671,0.031700288,0.024070022,0.082233503,0.0294305822,0.648,37100,11942
"237792",6552,1008,0.6335,0,0,0.021428571,0.047794118,0.034343434,0.02705314,0.00840932085426667,0.0328102641993666,0.0441285427108,0.0109742284307333,0.0445997351651,0.06466877,0.078066915,0.073770492,0.0316205534,0.613,32900,16984
"237899",5935,944,0.5017,0,0,0.013793103,0.0426515615695667,0.0751770543922001,0.037593985,0.027067669,0.0319872085041667,0.0474301008515,0.047138047,0.046961326,0.062121212,0.056672761,0.126424871,0.00882842732180332,0.449,26300,13122
"237950",6634,987,0.4473,0,0,0.010329562,0.026022305,0.038819876,0.017723245,0.009035056,0.0207952919115667,0.021802326,0.015744157,0.030871671,0.031700288,0.024070022,0.082233503,0.0294305822,0.648,37100,14514
"238032",9331,1072,0.7719,0,0,0.010329562,0.026022305,0.038819876,0.017723245,0.009035056,0.0218284268674667,0.021802326,0.015744157,0.030871671,0.031700288,0.024070022,0.082233503,0.0294305822,0.648,37100,16238
"238263",10064,1003.49808787879,0.748458021515151,0.0148,0.0088,0.006632653,0.019056261,0.040854225,0.013899816,0.003593245,0.0198129016487,0.017918089,0.014933333,0.017664377,0.036777583,0.02262931,0.123745819,0.0087859425,0.6,30400,11379
"238616",8025,1049,0.7411,0,0,0.010212097,0.021276596,0.065759637,0.011570248,0.00904343382069999,0.0241189554523,0.0262151872911,0.0145095617867667,0.0262614142399666,0.045130641,0.036121673,0.128318584,0.0583038869,0.702,38800,35129
"238722",8496,971.475866666667,0.73978650547619,0.011,0.0102,0.009221689,0.018758085,0.028409091,0.016302187,0.0110302515795333,0.0239226702952333,0.0332069971052,0.042727273,0.039716312,0.036873156,0.04028777,0.071753986,0.0073435504,0.594,30400,10983
